year,rank,rider,time,team,margin,winning_time_parts,finishing_time_parts,country
1981,69,bernardo alfonsel (esp),"+ 1h 49' 11""",teka–campagnolo,"[1, 49, 11]","[96, 19, 38]","[97, 68, 49]",esp
1981,70,jean chassang (fra),"+ 1h 50' 34""",puch–wolber–campagnolo,"[1, 50, 34]","[96, 19, 38]","[97, 69, 72]",fra
1981,71,yves hézard (fra),"+ 1h 52' 15""",puch–wolber–campagnolo,"[1, 52, 15]","[96, 19, 38]","[97, 71, 53]",fra
1981,72,bernard bourreau (fra),"+ 1h 56' 32""",peugeot–esso–michelin,"[1, 56, 32]","[96, 19, 38]","[97, 75, 70]",fra
1981,73,hubert mathis (fra),"+ 1h 58' 29""",miko–mercier–vivagel,"[1, 58, 29]","[96, 19, 38]","[97, 77, 67]",fra
1981,74,ludo delcroix (bel),"+ 1h 59' 59""",capri sonne–koga miyata,"[1, 59, 59]","[96, 19, 38]","[97, 78, 97]",bel
1981,75,rudy pevenage (bel),"+ 2h 00' 34""",capri sonne–koga miyata,"[2, 0, 34]","[96, 19, 38]","[98, 19, 72]",bel
1981,76,louis luyten (bel),"+ 2h 02' 01""",vermeer thijs,"[2, 2, 1]","[96, 19, 38]","[98, 21, 39]",bel
1981,77,christian levavasseur (fra),"+ 2h 02' 36""",miko–mercier–vivagel,"[2, 2, 36]","[96, 19, 38]","[98, 21, 74]",fra
1981,78,patrick moerlen (sui),"+ 2h 03' 20""",sem–france loire–campagnolo,"[2, 3, 20]","[96, 19, 38]","[98, 22, 58]",sui
1981,79,herman beysens (bel),"+ 2h 03' 25""",vermeer thijs,"[2, 3, 25]","[96, 19, 38]","[98, 22, 63]",bel
1981,80,hennie stamsnijder (ned),"+ 2h 05' 31""",daf trucks–côte d'or,"[2, 5, 31]","[96, 19, 38]","[98, 24, 69]",ned
1981,81,adrie van houwelingen (ned),"+ 2h 06' 20""",vermeer thijs,"[2, 6, 20]","[96, 19, 38]","[98, 25, 58]",ned
1981,82,jean-luc vandenbroucke (bel),"+ 2h 07' 14""",la redoute–motobécane,"[2, 7, 14]","[96, 19, 38]","[98, 26, 52]",bel
1981,83,rené martens (bel),"+ 2h 07' 41""",daf trucks–côte d'or,"[2, 7, 41]","[96, 19, 38]","[98, 26, 79]",bel
1981,84,jos jacobs (bel),"+ 2h 08' 21""",capri sonne–koga miyata,"[2, 8, 21]","[96, 19, 38]","[98, 27, 59]",bel
1981,85,yvon bertin (fra),"+ 2h 10' 08""",renault–elf–gitane,"[2, 10, 8]","[96, 19, 38]","[98, 29, 46]",fra
1981,86,joël gallopin (fra),"+ 2h 10' 22""",miko–mercier–vivagel,"[2, 10, 22]","[96, 19, 38]","[98, 29, 60]",fra
1981,87,roger de cnijf (bel),"+ 2h 10' 47""",boston–mavic,"[2, 10, 47]","[96, 19, 38]","[98, 29, 85]",bel
1981,88,jean-françois pescheux (fra),"+ 2h 12' 04""",la redoute–motobécane,"[2, 12, 4]","[96, 19, 38]","[98, 31, 42]",fra
1981,89,franky de gendt (bel),"+ 2h 12' 42""",vermeer thijs,"[2, 12, 42]","[96, 19, 38]","[98, 31, 80]",bel
1981,90,patrick hosotte (fra),"+ 2h 12' 49""",sem–france loire–campagnolo,"[2, 12, 49]","[96, 19, 38]","[98, 31, 87]",fra
1981,91,paulinho martinez (esp),"+ 2h 13' 12""",teka–campagnolo,"[2, 13, 12]","[96, 19, 38]","[98, 32, 50]",esp
1981,92,marc durant (fra),"+ 2h 13' 51""",la redoute–motobécane,"[2, 13, 51]","[96, 19, 38]","[98, 32, 89]",fra
1981,93,william tackaert (bel),"+ 2h 21' 50""",daf trucks–côte d'or,"[2, 21, 50]","[96, 19, 38]","[98, 40, 88]",bel
1981,94,frits pirard (ned),"+ 2h 23' 40""",sunair–sport 80–colnago,"[2, 23, 40]","[96, 19, 38]","[98, 42, 78]",ned
1981,95,frank hoste (bel),"+ 2h 23' 56""",ti–raleigh–creda,"[2, 23, 56]","[96, 19, 38]","[98, 42, 94]",bel
1981,96,eugène urbany (lux),"+ 2h 25' 01""",splendor–wickes bouwmarkt–europ decor,"[2, 25, 1]","[96, 19, 38]","[98, 44, 39]",lux
1981,97,jesús guzmán (esp),"+ 2h 25' 38""",kelme–gios,"[2, 25, 38]","[96, 19, 38]","[98, 44, 76]",esp
1981,98,jean-paul hosotte (fra),"+ 2h 28' 09""",sem–france loire–campagnolo,"[2, 28, 9]","[96, 19, 38]","[98, 47, 47]",fra
1981,99,ferdi van den haute (bel),"+ 2h 28' 11""",la redoute–motobécane,"[2, 28, 11]","[96, 19, 38]","[98, 47, 49]",bel
1981,100,jaime vilamajo (esp),"+ 2h 29' 41""",kelme–gios,"[2, 29, 41]","[96, 19, 38]","[98, 48, 79]",esp
1981,101,eulalio garcía (esp),"+ 2h 30' 43""",teka–campagnolo,"[2, 30, 43]","[96, 19, 38]","[98, 49, 81]",esp
1981,102,leo wellens (bel),"+ 2h 30' 46""",sunair–sport 80–colnago,"[2, 30, 46]","[96, 19, 38]","[98, 49, 84]",bel
1981,103,francisco ramon albelda (esp),"+ 2h 33' 54""",kelme–gios,"[2, 33, 54]","[96, 19, 38]","[98, 52, 92]",esp
1981,104,manuel (imanol) murga (esp),"+ 2h 35' 45""",kelme–gios,"[2, 35, 45]","[96, 19, 38]","[98, 54, 83]",imanol
1981,105,jésus suarez (esp),"+ 2h 37' 36""",kelme–gios,"[2, 37, 36]","[96, 19, 38]","[98, 56, 74]",esp
1981,106,marc dierickx (bel),"+ 2h 38' 10""",daf trucks–côte d'or,"[2, 38, 10]","[96, 19, 38]","[98, 57, 48]",bel
1981,107,dirk wayenberg (bel),"+ 2h 40' 27""",capri sonne–koga miyata,"[2, 40, 27]","[96, 19, 38]","[98, 59, 65]",bel
1981,108,eddy verstraeten (bel),"+ 2h 44' 22""",vermeer thijs,"[2, 44, 22]","[96, 19, 38]","[98, 63, 60]",bel
1981,109,albert zweifel (sui),"+ 2h 44' 24""",sem–france loire–campagnolo,"[2, 44, 24]","[96, 19, 38]","[98, 63, 62]",sui
1981,110,marcel laurens (bel),"+ 2h 45' 21""",daf trucks–côte d'or,"[2, 45, 21]","[96, 19, 38]","[98, 64, 59]",bel
1981,111,willy teirlinck (bel),"+ 2h 46' 44""",boston–mavic,"[2, 46, 44]","[96, 19, 38]","[98, 65, 82]",bel
1981,112,gerhard schönbacher (aut),"+ 2h 51' 30""",puch–wolber–campagnolo,"[2, 51, 30]","[96, 19, 38]","[98, 70, 68]",aut
1981,113,johnny broers (ned),"+ 3h 01' 58""",splendor–wickes bouwmarkt–europ decor,"[3, 1, 58]","[96, 19, 38]","[99, 20, 96]",ned
1981,114,luc de grauwe (bel),"+ 3h 05' 51""",boston–mavic,"[3, 5, 51]","[96, 19, 38]","[99, 24, 89]",bel
1981,115,aad van den hoek (ned),"+ 3h 11' 29""",ti–raleigh–creda,"[3, 11, 29]","[96, 19, 38]","[99, 30, 67]",ned
1981,116,jan jonkers (ned),"+ 3h 15' 21""",boston–mavic,"[3, 15, 21]","[96, 19, 38]","[99, 34, 59]",ned
1981,117,johan wellens (bel),"+ 3h 16' 02""",sunair–sport 80–colnago,"[3, 16, 2]","[96, 19, 38]","[99, 35, 40]",bel
1981,118,jorge ruiz (esp),"+ 3h 16' 13""",teka–campagnolo,"[3, 16, 13]","[96, 19, 38]","[99, 35, 51]",esp
1981,119,alain de roo (bel),"+ 3h 19' 07""",sunair–sport 80–colnago,"[3, 19, 7]","[96, 19, 38]","[99, 38, 45]",bel
1981,120,philippe tesniere (fra),"+ 4h 14' 59""",boston–mavic,"[4, 14, 59]","[96, 19, 38]","[100, 33, 97]",fra
1981,121,faustino cueli (esp),"+ 4h 29' 54""",teka–campagnolo,"[4, 29, 54]","[96, 19, 38]","[100, 48, 92]",esp
1982,1,bernard hinault (fra),"92h 08' 46""",renault–elf–gitane,"[0, 0, 0]","[92, 8, 46]","[92, 8, 46]",fra
1982,2,joop zoetemelk (ned),"+ 6' 21""",coop–mercier–mavic,"[0, 6, 21]","[92, 8, 46]","[92, 14, 67]",ned
1982,3,johan van der velde (ned),"+ 8' 59""",ti–raleigh–campagnolo,"[0, 8, 59]","[92, 8, 46]","[92, 16, 105]",ned
1982,4,peter winnen (ned),"+ 9' 24""",capri sonne–campagnolo–merckx,"[0, 9, 24]","[92, 8, 46]","[92, 17, 70]",ned
1982,5,phil anderson (aus),"+ 12' 16""",peugeot–shell–michelin,"[0, 12, 16]","[92, 8, 46]","[92, 20, 62]",aus
1982,6,beat breu (sui),"+ 13' 21""",cilo–aufina,"[0, 13, 21]","[92, 8, 46]","[92, 21, 67]",sui
1982,7,daniel willems (bel),"+ 15' 33""",sunair–colnago–campagnolo,"[0, 15, 33]","[92, 8, 46]","[92, 23, 79]",bel
1982,8,raymond martin (fra),"+ 15' 35""",coop–mercier–mavic,"[0, 15, 35]","[92, 8, 46]","[92, 23, 81]",fra
1982,9,hennie kuiper (ned),"+ 17' 01""",daf trucks–teve blad,"[0, 17, 1]","[92, 8, 46]","[92, 25, 47]",ned
1982,10,alberto fernández (esp),"+ 17' 19""",teka,"[0, 17, 19]","[92, 8, 46]","[92, 25, 65]",esp
1982,11,robert alban (fra),"+ 17' 21""",la redoute–motobécane,"[0, 17, 21]","[92, 8, 46]","[92, 25, 67]",fra
1982,12,bernard vallet (fra),"+ 19' 52""",la redoute–motobécane,"[0, 19, 52]","[92, 8, 46]","[92, 27, 98]",fra
1982,13,jean-rené bernaudeau (fra),"+ 20' 02""",peugeot–shell–michelin,"[0, 20, 2]","[92, 8, 46]","[92, 28, 48]",fra
1982,14,sven-åke nilsson (swe),"+ 25' 11""",wolber–spidel,"[0, 25, 11]","[92, 8, 46]","[92, 33, 57]",swe
1982,15,sean kelly (ire),"+ 27' 17""",sem–france loire–campagnolo,"[0, 27, 17]","[92, 8, 46]","[92, 35, 63]",ire
1982,16,charly berard (fra),"+ 31' 35""",renault–elf–gitane,"[0, 31, 35]","[92, 8, 46]","[92, 39, 81]",fra
1982,17,kim andersen (den),"+ 31' 57""",coop–mercier–mavic,"[0, 31, 57]","[92, 8, 46]","[92, 39, 103]",den
1982,18,jacques michaud (fra),"+ 32' 21""",coop–mercier–mavic,"[0, 32, 21]","[92, 8, 46]","[92, 40, 67]",fra
1982,19,theo de rooij (ned),"+ 32' 37""",capri sonne–campagnolo–merckx,"[0, 32, 37]","[92, 8, 46]","[92, 40, 83]",ned
1982,20,pascal simon (fra),"+ 34' 22""",peugeot–shell–michelin,"[0, 34, 22]","[92, 8, 46]","[92, 42, 68]",fra
1982,21,stefan mutter (sui),"+ 35' 02""",puch–eorotex–campagnolo,"[0, 35, 2]","[92, 8, 46]","[92, 43, 48]",sui
1982,22,guy nulens (bel),"+ 35' 48""",daf trucks–teve blad,"[0, 35, 48]","[92, 8, 46]","[92, 43, 94]",bel
1982,23,jonathan boyer (usa),"+ 44' 09""",sem–france loire–campagnolo,"[0, 44, 9]","[92, 8, 46]","[92, 52, 55]",usa
1982,24,rené martens (bel),"+ 44' 28""",daf trucks–teve blad,"[0, 44, 28]","[92, 8, 46]","[92, 52, 74]",bel
1982,25,lucien didier (lux),"+ 44' 37""",renault–elf–gitane,"[0, 44, 37]","[92, 8, 46]","[92, 52, 83]",lux
1982,26,jean-françois rodriguez (fra),"+ 45' 31""",renault–elf–gitane,"[0, 45, 31]","[92, 8, 46]","[92, 53, 77]",fra
1982,27,maurice le guilloux (fra),"+ 46' 58""",renault–elf–gitane,"[0, 46, 58]","[92, 8, 46]","[92, 54, 104]",fra
1982,28,johan de muynck (bel),"+ 48' 51""",la redoute–motobécane,"[0, 48, 51]","[92, 8, 46]","[92, 56, 97]",bel
1982,29,christian seznec (fra),"+ 49' 28""",wolber–spidel,"[0, 49, 28]","[92, 8, 46]","[92, 57, 74]",fra
1982,30,marc madiot (fra),"+ 49' 28""",renault–elf–gitane,"[0, 49, 28]","[92, 8, 46]","[92, 57, 74]",fra
1982,31,alfons de wolf (bel),"+ 50' 21""",vermeer thijs,"[0, 50, 21]","[92, 8, 46]","[92, 58, 67]",bel
1982,32,gerard veldscholten (ned),"+ 51' 30""",ti–raleigh–campagnolo,"[0, 51, 30]","[92, 8, 46]","[92, 59, 76]",ned
1982,33,mario beccia (ita),"+ 52' 35""",hoonved–bottecchia,"[0, 52, 35]","[92, 8, 46]","[92, 60, 81]",ita
1982,34,ludo peeters (bel),"+ 52' 59""",ti–raleigh–campagnolo,"[0, 52, 59]","[92, 8, 46]","[92, 60, 105]",bel
1982,35,alain vigneron (fra),"+ 53' 48""",renault–elf–gitane,"[0, 53, 48]","[92, 8, 46]","[92, 61, 94]",fra
1982,36,dominique arnaud (fra),"+ 54' 12""",wolber–spidel,"[0, 54, 12]","[92, 8, 46]","[92, 62, 58]",fra
1982,37,marino lejarreta (esp),"+ 54' 29""",teka,"[0, 54, 29]","[92, 8, 46]","[92, 62, 75]",esp
1982,38,patrick perret (fra),"+ 55' 05""",peugeot–shell–michelin,"[0, 55, 5]","[92, 8, 46]","[92, 63, 51]",fra
1982,39,pierre bazzo (fra),"+ 55' 30""",la redoute–motobécane,"[0, 55, 30]","[92, 8, 46]","[92, 63, 76]",fra
1982,40,adri van houwelingen (ned),"+ 56' 43""",vermeer thijs,"[0, 56, 43]","[92, 8, 46]","[92, 64, 89]",ned
1982,41,patrick bonnet (fra),"+ 57' 16""",renault–elf–gitane,"[0, 57, 16]","[92, 8, 46]","[92, 65, 62]",fra
1982,42,didier vanoverschelde (fra),"+ 1h 00' 00""",la redoute–motobécane,"[1, 0, 0]","[92, 8, 46]","[93, 8, 46]",fra
1982,43,marcel tinazzi (fra),"+ 1h 00' 33""",sem–france loire–campagnolo,"[1, 0, 33]","[92, 8, 46]","[93, 8, 79]",fra
1982,44,rené bittinger (fra),"+ 1h 00' 53""",sem–france loire–campagnolo,"[1, 0, 53]","[92, 8, 46]","[93, 8, 99]",fra
1982,45,régis clère (fra),"+ 1h 00' 55""",coop–mercier–mavic,"[1, 0, 55]","[92, 8, 46]","[93, 8, 101]",fra
1982,46,henk lubberding (ned),"+ 1h 02' 29""",ti–raleigh–campagnolo,"[1, 2, 29]","[92, 8, 46]","[93, 10, 75]",ned
1982,47,gerrie knetemann (ned),"+ 1h 03' 41""",ti–raleigh–campagnolo,"[1, 3, 41]","[92, 8, 46]","[93, 11, 87]",ned
1982,48,michel laurent (fra),"+ 1h 04' 58""",peugeot–shell–michelin,"[1, 4, 58]","[92, 8, 46]","[93, 12, 104]",fra
1982,49,jean-françois chaurin (fra),"+ 1h 05' 57""",sem–france loire–campagnolo,"[1, 5, 57]","[92, 8, 46]","[93, 13, 103]",fra
1982,50,pascal poisson (fra),"+ 1h 08' 24""",renault–elf–gitane,"[1, 8, 24]","[92, 8, 46]","[93, 16, 70]",fra
1982,51,pierre-henri menthéour (fra),"+ 1h 10' 47""",coop–mercier–mavic,"[1, 10, 47]","[92, 8, 46]","[93, 18, 93]",fra
1982,52,leo van vliet (ned),"+ 1h 12' 18""",ti–raleigh–campagnolo,"[1, 12, 18]","[92, 8, 46]","[93, 20, 64]",ned
1982,53,ad wijnands (ned),"+ 1h 13' 22""",ti–raleigh–campagnolo,"[1, 13, 22]","[92, 8, 46]","[93, 21, 68]",ned
1982,54,jean-philippe vandenbrande (bel),"+ 1h 14' 56""",splendor–wickes bouwmarkt,"[1, 14, 56]","[92, 8, 46]","[93, 22, 102]",bel
1982,55,pierre-raymond villemiane (fra),"+ 1h 15' 56""",wolber–spidel,"[1, 15, 56]","[92, 8, 46]","[93, 23, 102]",fra
1982,56,hubert linard (fra),"+ 1h 17' 04""",peugeot–shell–michelin,"[1, 17, 4]","[92, 8, 46]","[93, 25, 50]",fra
1982,57,ismael lejarreta (esp),"+ 1h 20' 21""",teka,"[1, 20, 21]","[92, 8, 46]","[93, 28, 67]",esp
1982,58,luciano loro (ita),"+ 1h 22' 49""",inoxpran,"[1, 22, 49]","[92, 8, 46]","[93, 30, 95]",ita
1982,59,pierre le bigaut (fra),"+ 1h 23' 00""",coop–mercier–mavic,"[1, 23, 0]","[92, 8, 46]","[93, 31, 46]",fra
1982,60,gilbert duclos-lassalle (fra),"+ 1h 23' 04""",peugeot–shell–michelin,"[1, 23, 4]","[92, 8, 46]","[93, 31, 50]",fra
1982,61,ludo de keulenaer (bel),"+ 1h 24' 55""",ti–raleigh–campagnolo,"[1, 24, 55]","[92, 8, 46]","[93, 32, 101]",bel
1982,62,marc durant (fra),"+ 1h 27' 23""",wolber–spidel,"[1, 27, 23]","[92, 8, 46]","[93, 35, 69]",fra
1982,63,ronald de witte (bel),"+ 1h 27' 56""",capri sonne–campagnolo–merckx,"[1, 27, 56]","[92, 8, 46]","[93, 35, 102]",bel
1982,64,dominique garde (fra),"+ 1h 29' 14""",sem–france loire–campagnolo,"[1, 29, 14]","[92, 8, 46]","[93, 37, 60]",fra
1982,65,antonio ferretti (sui),"+ 1h 30' 07""",cilo–aufina,"[1, 30, 7]","[92, 8, 46]","[93, 38, 53]",sui
1982,66,frédéric brun (fra),"+ 1h 30' 56""",peugeot–shell–michelin,"[1, 30, 56]","[92, 8, 46]","[93, 38, 102]",fra
1982,67,bernardo alfonsel (esp),"+ 1h 31' 00""",teka,"[1, 31, 0]","[92, 8, 46]","[93, 39, 46]",esp
1982,68,eric van de wiele (bel),"+ 1h 31' 21""",capri sonne–campagnolo–merckx,"[1, 31, 21]","[92, 8, 46]","[93, 39, 67]",bel
1982,69,josef wehrli (sui),"+ 1h 31' 21""",puch–eorotex–campagnolo,"[1, 31, 21]","[92, 8, 46]","[93, 39, 67]",sui
1982,70,antonio coll (esp),"+ 1h 32' 02""",teka,"[1, 32, 2]","[92, 8, 46]","[93, 40, 48]",esp
1982,71,marc gomez (fra),"+ 1h 33' 00""",wolber–spidel,"[1, 33, 0]","[92, 8, 46]","[93, 41, 46]",fra
1982,72,serge demierre (sui),"+ 1h 33' 56""",cilo–aufina,"[1, 33, 56]","[92, 8, 46]","[93, 41, 102]",sui
1982,73,rudy pevenage (bel),"+ 1h 35' 23""",capri sonne–campagnolo–merckx,"[1, 35, 23]","[92, 8, 46]","[93, 43, 69]",bel
1982,74,jean-françois rault (fra),"+ 1h 41' 55""",wolber–spidel,"[1, 41, 55]","[92, 8, 46]","[93, 49, 101]",fra
1982,75,ludwig wijnants (bel),"+ 1h 42' 19""",sunair–colnago–campagnolo,"[1, 42, 19]","[92, 8, 46]","[93, 50, 65]",bel
1982,76,bruno leali (ita),"+ 1h 42' 50""",inoxpran,"[1, 42, 50]","[92, 8, 46]","[93, 50, 96]",ita
1982,77,patrick clerc (fra),"+ 1h 43' 05""",sem–france loire–campagnolo,"[1, 43, 5]","[92, 8, 46]","[93, 51, 51]",fra
1982,78,harald maier (aut),"+ 1h 43' 50""",puch–eorotex–campagnolo,"[1, 43, 50]","[92, 8, 46]","[93, 51, 96]",aut
1982,79,mike gutmann (sui),"+ 1h 43' 58""",puch–eorotex–campagnolo,"[1, 43, 58]","[92, 8, 46]","[93, 51, 104]",sui
1982,80,jean chassang (fra),"+ 1h 44' 21""",wolber–spidel,"[1, 44, 21]","[92, 8, 46]","[93, 52, 67]",fra
1982,81,pol verschuere (bel),"+ 1h 46' 49""",vermeer thijs,"[1, 46, 49]","[92, 8, 46]","[93, 54, 95]",bel
1982,82,cédric rossier (sui),"+ 1h 47' 08""",cilo–aufina,"[1, 47, 8]","[92, 8, 46]","[93, 55, 54]",sui
1982,83,patrick moerlen (sui),"+ 1h 48' 07""",cilo–aufina,"[1, 48, 7]","[92, 8, 46]","[93, 56, 53]",sui
1982,84,dany schoonbaert (bel),"+ 1h 48' 57""",vermeer thijs,"[1, 48, 57]","[92, 8, 46]","[93, 56, 103]",bel
1982,85,marc dierickx (bel),"+ 1h 51' 17""",daf trucks–teve blad,"[1, 51, 17]","[92, 8, 46]","[93, 59, 63]",bel
1982,86,hubert arbès (fra),"+ 1h 52' 06""",renault–elf–gitane,"[1, 52, 6]","[92, 8, 46]","[93, 60, 52]",fra
1982,87,eric mckenzie (nzl),"+ 1h 54' 31""",capri sonne–campagnolo–merckx,"[1, 54, 31]","[92, 8, 46]","[93, 62, 77]",nzl
1982,88,hendrik devos (bel),"+ 1h 54' 39""",daf trucks–teve blad,"[1, 54, 39]","[92, 8, 46]","[93, 62, 85]",bel
1982,89,claude vincendeau (fra),"+ 1h 56' 33""",wolber–spidel,"[1, 56, 33]","[92, 8, 46]","[93, 64, 79]",fra
1982,90,klaus-peter thaler (frg),"+ 1h 56' 42""",puch–eorotex–campagnolo,"[1, 56, 42]","[92, 8, 46]","[93, 64, 88]",frg
1982,91,ludo delcroix (bel),"+ 1h 58' 36""",capri sonne–campagnolo–merckx,"[1, 58, 36]","[92, 8, 46]","[93, 66, 82]",bel
1982,92,louis luyten (bel),"+ 1h 59' 27""",vermeer thijs,"[1, 59, 27]","[92, 8, 46]","[93, 67, 73]",bel
1982,93,roger de cnijf (bel),"+ 1h 59' 58""",vermeer thijs,"[1, 59, 58]","[92, 8, 46]","[93, 67, 104]",bel
1982,94,patrick versluys (bel),"+ 2h 05' 33""",sunair–colnago–campagnolo,"[2, 5, 33]","[92, 8, 46]","[94, 13, 79]",bel
1982,95,erwin lienhard (sui),"+ 2h 07' 51""",puch–eorotex–campagnolo,"[2, 7, 51]","[92, 8, 46]","[94, 15, 97]",sui
1982,96,pascal guyot (fra),"+ 2h 09' 00""",la redoute–motobécane,"[2, 9, 0]","[92, 8, 46]","[94, 17, 46]",fra
1982,97,eugène urbany (lux),"+ 2h 09' 15""",splendor–wickes bouwmarkt,"[2, 9, 15]","[92, 8, 46]","[94, 17, 61]",lux
1982,98,julius thalmann (sui),"+ 2h 10' 46""",cilo–aufina,"[2, 10, 46]","[92, 8, 46]","[94, 18, 92]",sui
1982,99,jan van houwelingen (ned),"+ 2h 11' 19""",vermeer thijs,"[2, 11, 19]","[92, 8, 46]","[94, 19, 65]",ned
1982,100,marcel laurens (bel),"+ 2h 11' 51""",daf trucks–teve blad,"[2, 11, 51]","[92, 8, 46]","[94, 19, 97]",bel
1982,101,guy janiszewski (bel),"+ 2h 13' 13""",sunair–colnago–campagnolo,"[2, 13, 13]","[92, 8, 46]","[94, 21, 59]",bel
1982,102,adri van der poel (ned),"+ 2h 14' 42""",daf trucks–teve blad,"[2, 14, 42]","[92, 8, 46]","[94, 22, 88]",ned
1982,103,siegfried hekimi (sui),"+ 2h 15' 00""",puch–eorotex–campagnolo,"[2, 15, 0]","[92, 8, 46]","[94, 23, 46]",sui
1982,104,jean-louis gauthier (fra),"+ 2h 15' 33""",coop–mercier–mavic,"[2, 15, 33]","[92, 8, 46]","[94, 23, 79]",fra
1982,105,gilbert glaus (sui),"+ 2h 15' 35""",cilo–aufina,"[2, 15, 35]","[92, 8, 46]","[94, 23, 81]",sui
1982,106,antonio bevilacqua (ita),"+ 2h 15' 58""",hoonved–bottecchia,"[2, 15, 58]","[92, 8, 46]","[94, 23, 104]",ita
1982,107,hubert graignic (fra),"+ 2h 17' 01""",sem–france loire–campagnolo,"[2, 17, 1]","[92, 8, 46]","[94, 25, 47]",fra
1982,108,frans van vlierberghe (bel),"+ 2h 18' 07""",sunair–colnago–campagnolo,"[2, 18, 7]","[92, 8, 46]","[94, 26, 53]",bel
1982,109,alfredo chinetti (ita),"+ 2h 19' 26""",inoxpran,"[2, 19, 26]","[92, 8, 46]","[94, 27, 72]",ita
1982,110,felipe yañez (esp),"+ 2h 22' 13""",teka,"[2, 22, 13]","[92, 8, 46]","[94, 30, 59]",esp
1982,111,paul sherwen (gbr),"+ 2h 22' 54""",la redoute–motobécane,"[2, 22, 54]","[92, 8, 46]","[94, 30, 100]",gbr
1982,112,thierry bolle (sui),"+ 2h 26' 41""",cilo–aufina,"[2, 26, 41]","[92, 8, 46]","[94, 34, 87]",sui
1982,113,fiorenzo aliverti (ita),"+ 2h 27' 34""",hoonved–bottecchia,"[2, 27, 34]","[92, 8, 46]","[94, 35, 80]",ita
1982,114,andré chappuis (fra),"+ 2h 28' 19""",sem–france loire–campagnolo,"[2, 28, 19]","[92, 8, 46]","[94, 36, 65]",fra
1982,115,andré chalmel (fra),"+ 2h 33' 49""",peugeot–shell–michelin,"[2, 33, 49]","[92, 8, 46]","[94, 41, 95]",fra
1982,116,carlo tonon (ita),"+ 2h 34' 33""",inoxpran,"[2, 34, 33]","[92, 8, 46]","[94, 42, 79]",ita
1982,117,dirk wayenberg (bel),"+ 2h 38' 22""",capri sonne–campagnolo–merckx,"[2, 38, 22]","[92, 8, 46]","[94, 46, 68]",bel
1982,118,benny van brabant (bel),"+ 2h 38' 57""",splendor–wickes bouwmarkt,"[2, 38, 57]","[92, 8, 46]","[94, 46, 103]",bel
1982,119,marcel russenberger (sui),"+ 2h 39' 32""",cilo–aufina,"[2, 39, 32]","[92, 8, 46]","[94, 47, 78]",sui
1982,120,giuliano biatta (ita),"+ 2h 45' 10""",inoxpran,"[2, 45, 10]","[92, 8, 46]","[94, 53, 56]",ita
1982,121,enzo serpelloni (ita),"+ 2h 46' 18""",hoonved–bottecchia,"[2, 46, 18]","[92, 8, 46]","[94, 54, 64]",ita
1982,122,juan-carlos alonso (esp),"+ 2h 51' 22""",teka,"[2, 51, 22]","[92, 8, 46]","[94, 59, 68]",esp
1982,123,alain de roo (bel),"+ 2h 51' 38""",sunair–colnago–campagnolo,"[2, 51, 38]","[92, 8, 46]","[94, 59, 84]",bel
1982,124,yvon bertin (fra),"+ 2h 55' 28""",coop–mercier–mavic,"[2, 55, 28]","[92, 8, 46]","[94, 63, 74]",fra
1982,125,werner devos (bel),"+ 3h 04' 44""",sunair–colnago–campagnolo,"[3, 4, 44]","[92, 8, 46]","[95, 12, 90]",bel
1983,1,laurent fignon (fra),"105h 07' 52""",renault–elf,"[0, 0, 0]","[105, 7, 52]","[105, 7, 52]",fra
1983,2,ángel arroyo (esp),"+ 4' 04""",reynolds,"[0, 4, 4]","[105, 7, 52]","[105, 11, 56]",esp
1983,3,peter winnen (ned),"+ 4' 09""",ti–raleigh–campagnolo,"[0, 4, 9]","[105, 7, 52]","[105, 11, 61]",ned
1983,4,lucien van impe (bel),"+ 4' 16""",metauro mobili–pinarello,"[0, 4, 16]","[105, 7, 52]","[105, 11, 68]",bel
1983,5,robert alban (fra),"+ 7' 53""",la redoute–motobécane,"[0, 7, 53]","[105, 7, 52]","[105, 14, 105]",fra
1983,6,jean-rené bernaudeau (fra),"+ 8' 59""",wolber–spidel,"[0, 8, 59]","[105, 7, 52]","[105, 15, 111]",fra
1983,7,sean kelly (ire),"+ 12' 09""",sem–reydel–mavic,"[0, 12, 9]","[105, 7, 52]","[105, 19, 61]",ire
1983,8,marc madiot (fra),"+ 14' 55""",renault–elf,"[0, 14, 55]","[105, 7, 52]","[105, 21, 107]",fra
1983,9,phil anderson (aus),"+ 16' 56""",peugeot–shell–michelin,"[0, 16, 56]","[105, 7, 52]","[105, 23, 108]",aus
1983,10,henk lubberding (ned),"+ 18' 55""",ti–raleigh–campagnolo,"[0, 18, 55]","[105, 7, 52]","[105, 25, 107]",ned
1983,11,joaquim agostinho (por),"+ 19' 00""",sem–reydel–mavic,"[0, 19, 0]","[105, 7, 52]","[105, 26, 52]",por
1983,12,jonathan boyer (usa),"+ 19' 57""",sem–reydel–mavic,"[0, 19, 57]","[105, 7, 52]","[105, 26, 109]",usa
1983,13,stephen roche (ire),"+ 21' 30""",peugeot–shell–michelin,"[0, 21, 30]","[105, 7, 52]","[105, 28, 82]",ire
1983,14,robert millar (gbr),"+ 23' 29""",peugeot–shell–michelin,"[0, 23, 29]","[105, 7, 52]","[105, 30, 81]",gbr
